dominio;documento;nome;uf;cidade;cep;data_cadastro;ultima_atualizacao;ticket
eletrobras.gov.br;000.001.180/0002-07;CENTRAIS ELETRICAS BRASILEIRAS SA;RJ;Rio de Janeiro;20071-003;1996-01-09 12:00:00;2020-05-06 22:05:59;5023
premioconservacaoenergia.gov.br;000.001.180/0002-07;CENTRAIS ELETRICAS BRASILEIRAS SA;RJ;Rio de Janeiro;20071-003;2009-03-24 20:07:14;2020-05-06 22:13:56;5379045
procel.gov.br;000.001.180/0002-07;CENTRAIS ELETRICAS BRASILEIRAS SA;RJ;Rio de Janeiro;20071-003;2000-11-06 18:41:03;2020-05-06 22:13:30;453438
proinfa.gov.br;000.001.180/0002-07;CENTRAIS ELETRICAS BRASILEIRAS SA;RJ;Rio de Janeiro;20071-003;2002-04-18 14:55:25;2020-05-06 22:19:47;784297
reluz.gov.br;000.001.180/0002-07;CENTRAIS ELETRICAS BRASILEIRAS SA;RJ;Rio de Janeiro;20071-003;2000-11-06 18:41:04;2020-05-06 22:20:06;453442
bacen.gov.br;000.038.166/0001-05;Banco Central do Brasil;DF;Brasília;70074-900;1996-11-26 11:00:00;2015-06-17 22:19:54;0
bancocentral.gov.br;000.038.166/0001-05;Banco Central do Brasil;DF;Brasília;70074-900;1998-12-31 00:24:21;2015-06-17 22:20:15;135008
bc.gov.br;000.038.166/0001-05;Banco Central do Brasil;DF;Brasília;70074-900;1998-12-30 18:22:39;2015-06-17 22:20:33;133801
bcb.gov.br;000.038.166/0001-05;Banco Central do Brasil;DF;Brasília;70074-900;1996-01-24 12:00:00;2015-06-17 22:20:50;5153
cidadaniafinanceira.gov.br;000.038.166/0001-05;Banco Central do Brasil;DF;Brasília;70074-900;2015-03-31 16:27:25;2015-06-17 22:21:48;13971449
sisbacen.gov.br;000.038.166/0001-05;Banco Central do Brasil;DF;Brasília;70074-900;1998-12-31 00:24:19;2016-05-18 21:19:24;135007
selic.gov.br;000.038.166/0010-98;Banco Central do Brasil;RJ;Rio de Janeiro;20071-001;2010-07-28 12:18:08;2020-01-15 14:02:28;7082360
dnocs.gov.br;000.043.711/0001-43;DEPARTAMENTO NACIONAL DE OBRAS CONTRA AS SECAS;CE;Fortaleza;60035-111;1999-02-10 19:09:57;2019-09-24 13:32:11;139185
fhdf.gov.br;000.054.015/0001-32;Secretaria de Saúde do Distrito Federal;DF;Brasília;70335-902;1996-01-01 12:00:00;2020-05-05 20:44:18;0
funai.gov.br;000.059.311/0001-26;Fundação Nacional do Indio;DF;Brasília;70308-200;1998-02-10 13:07:35;2017-07-28 02:47:17;83785
museudoindio.gov.br;000.059.311/0002-07;Museu do Índio - Fundação Nacional do Índio;RJ;Rio de Janeiro;22270-070;2003-10-23 16:28:14;2020-05-05 20:44:22;1373769
eletrosul.gov.br;000.073.957/0001-68;Eletrosul Centrais Elétricas S.A.;SC;Florianópolis;88040-901;1996-07-27 12:00:00;2020-01-08 12:50:46;12785
cprm.gov.br;000.091.652/0002-60;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;RJ;Rio de Janeiro;22290-240;1996-02-16 12:00:00;2020-04-17 23:01:35;5443
crecidf.gov.br;000.105.650/0001-00;CONSELHO REGIONAL DE CORRETORES DE IMOVEIS CRECI;DF;Brasília;70391-900;2012-01-12 13:23:50;2020-05-05 20:44:12;9323584
cfmv.gov.br;000.119.784/0001-71;CONSELHO FEDERAL DE MEDICINA VETERINARIA;DF;Brasília;71205-060;2010-12-29 12:54:29;2020-03-30 18:30:32;7629594
inb.gov.br;000.322.818/0020-93;Industrias Nucleares do Brasil S/A;RJ;Resende;27555-000;1998-03-17 19:26:24;2020-05-05 20:44:21;89158
