Ano;ID;TIPO DO CRIME;BAIRRO;HORA;LOCAL
2018;1;FURTO QUALIFICADO;ABRANCHES;2;RESIDENCIA
2018;2;ROUBO;PRADO VELHO;5;PUBLICO
2018;3;FURTO SIMPLES;CENTRO;14;PUBLICO
2018;4;FURTO QUALIFICADO;CAJURU;14;PUBLICO
2018;5;FURTO QUALIFICADO;TATUQUARA;11;RESIDENCIA
2018;6;FURTO QUALIFICADO;FAZENDINHA;3;RESIDENCIA
2018;7;LESAO CORPORAL;SITIO CERCADO;17;PUBLICO
2018;8;FURTO QUALIFICADO;CAMPO COMPRIDO;18;RESIDENCIA
2018;9;FURTO QUALIFICADO;PRADO VELHO;10;OUTROS
2018;10;ROUBO;CAJURU;23;PUBLICO
2018;11;LESAO CORPORAL;CAJURU;0;RESIDENCIA
2018;12;LESAO CORPORAL;SITIO CERCADO;23;RESIDENCIA
2018;13;ROUBO;FANNY;0;PUBLICO
2018;14;ROUBO;CAPAO DA IMBUIA;16;PUBLICO
2018;15;ROUBO;CENTRO;7;PUBLICO
2018;16;FURTO QUALIFICADO;SITIO CERCADO;1;PUBLICO
2018;17;FURTO QUALIFICADO;SITIO CERCADO;1;RESIDENCIA
2018;18;FURTO QUALIFICADO;CAPAO RASO;0;ATIVIDADE FINANCEIRA
2018;19;FURTO QUALIFICADO;CAPAO RASO;0;MERCADO
2018;20;FURTO QUALIFICADO;CAPAO RASO;0;PRESTACAO DE SERVICOS
2018;21;ROUBO;BOQUEIRAO;19;PUBLICO
2018;22;FURTO QUALIFICADO;ALTO BOQUEIRAO;4;RESIDENCIA
2018;23;FURTO QUALIFICADO;ALTO BOQUEIRAO;5;RESIDENCIA
2018;24;LESAO CORPORAL;UMBARA;0;RESIDENCIA
2018;25;ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS;SITIO CERCADO;15;PUBLICO
2018;26;ROUBO;SITIO CERCADO;16;PUBLICO
2018;27;ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS;BAIRRO ALTO;15;PUBLICO
2018;28;ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS;BAIRRO ALTO;15;RESIDENCIA
2018;29;ROUBO;CENTRO;17;PUBLICO
2018;30;ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS;SITIO CERCADO;18;PUBLICO
2018;31;FURTO QUALIFICADO;REBOUCAS;8;PUBLICO
2018;32;ROUBO;CIDADE INDUSTRIAL;13;PUBLICO
2018;33;ROUBO;CIDADE INDUSTRIAL;18;COMERCIO
2018;34;ROUBO;JARDIM BOTANICO;22;PUBLICO
2018;35;ROUBO;JARDIM BOTANICO;21;PUBLICO
2018;36;FURTO SIMPLES;JARDIM BOTANICO;23;TRANSPORTE
2018;37;FURTO SIMPLES;JARDIM BOTANICO;1;TRANSPORTE
2018;38;ROUBO;CIDADE INDUSTRIAL;15;PUBLICO
2018;39;ROUBO;CENTRO;6;PUBLICO
2018;40;LESAO CORPORAL;AGUA VERDE;19;ALIMENTACAO / DIVERSAO
2018;41;LESAO CORPORAL;AGUA VERDE;19;PUBLICO
2018;42;FURTO QUALIFICADO;CAJURU;10;PUBLICO
2018;43;LESAO CORPORAL;CAJURU;15;PUBLICO
2018;44;FURTO QUALIFICADO;SITIO CERCADO;18;RESIDENCIA
2018;45;ROUBO;UBERABA;22;PUBLICO
2018;46;ROUBO;PINHEIRINHO;14;PUBLICO
2018;47;FURTO QUALIFICADO;GUAIRA;2;PUBLICO
2018;48;FURTO QUALIFICADO;BAIRRO ALTO;0;RESIDENCIA
2018;49;ROUBO;REBOUCAS;19;SAUDE
2018;50;FURTO DE COISA COMUM;CIDADE INDUSTRIAL;18;RESIDENCIA
2018;51;FURTO QUALIFICADO;SITIO CERCADO;5;ATIVIDADE FINANCEIRA
2018;52;ROUBO;BOQUEIRAO;9;SAUDE
2018;53;ROUBO;CAJURU;7;PUBLICO
2018;54;FURTO QUALIFICADO;BAIRRO ALTO;22;RESIDENCIA
2018;55;ROUBO;UBERABA;6;PUBLICO
2018;56;ROUBO;SANTA FELICIDADE;10;SAUDE
2018;57;ROUBO;SANTA FELICIDADE;10;TRANSPORTE
2018;58;FURTO QUALIFICADO;UBERABA;12;PUBLICO
2018;59;FURTO SIMPLES;TATUQUARA;4;INDUSTRIA
2018;60;FURTO SIMPLES;TATUQUARA;4;VEICULO
