id;crime;bairro;hora;local
14;FURTO QUALIFICADO;ABRANCHES;2;RESIDENCIA
21;ROUBO;PRADO VELHO;5;PUBLICO
26;FURTO SIMPLES;CENTRO;14;PUBLICO
30;FURTO QUALIFICADO;CAJURU;14;PUBLICO
31;FURTO QUALIFICADO;TATUQUARA;11;RESIDENCIA
36;FURTO QUALIFICADO;FAZENDINHA;3;RESIDENCIA
38;FURTO QUALIFICADO;CAMPO COMPRIDO;18;RESIDENCIA
40;FURTO QUALIFICADO;PRADO VELHO;10;OUTROS
44;ROUBO;CAJURU;23;PUBLICO
51;ROUBO;FANNY;0;PUBLICO
52;ROUBO;CAPAO DA IMBUIA;16;PUBLICO
54;ROUBO;CENTRO;7;PUBLICO
55;FURTO QUALIFICADO;SITIO CERCADO;1;PUBLICO
56;FURTO QUALIFICADO;SITIO CERCADO;1;RESIDENCIA
59;FURTO QUALIFICADO;CAPAO RASO;0;ATIVIDADE FINANCEIRA
60;FURTO QUALIFICADO;CAPAO RASO;0;MERCADO
61;FURTO QUALIFICADO;CAPAO RASO;0;PRESTACAO DE SERVICOS
66;ROUBO;BOQUEIRAO;19;PUBLICO
67;FURTO QUALIFICADO;ALTO BOQUEIRAO;4;RESIDENCIA
70;FURTO QUALIFICADO;ALTO BOQUEIRAO;5;RESIDENCIA
81;ROUBO;SITIO CERCADO;16;PUBLICO
84;ROUBO;CENTRO;17;PUBLICO
86;FURTO QUALIFICADO;REBOUCAS;8;PUBLICO
92;ROUBO;CIDADE INDUSTRIAL;13;PUBLICO
97;ROUBO;CIDADE INDUSTRIAL;18;COMERCIO
98;ROUBO;JARDIM BOTANICO;22;PUBLICO
101;ROUBO;JARDIM BOTANICO;21;PUBLICO
102;FURTO SIMPLES;JARDIM BOTANICO;23;TRANSPORTE
115;FURTO SIMPLES;JARDIM BOTANICO;1;TRANSPORTE
116;ROUBO;CIDADE INDUSTRIAL;15;PUBLICO
128;ROUBO;CENTRO;6;PUBLICO
137;FURTO QUALIFICADO;CAJURU;10;PUBLICO
140;FURTO QUALIFICADO;SITIO CERCADO;18;RESIDENCIA
143;ROUBO;UBERABA;22;PUBLICO
145;ROUBO;PINHEIRINHO;14;PUBLICO
146;FURTO QUALIFICADO;GUAIRA;2;PUBLICO
147;FURTO QUALIFICADO;BAIRRO ALTO;0;RESIDENCIA
148;ROUBO;REBOUCAS;19;SAUDE
149;FURTO DE COISA COMUM;CIDADE INDUSTRIAL;18;RESIDENCIA
151;FURTO QUALIFICADO;SITIO CERCADO;5;ATIVIDADE FINANCEIRA
152;ROUBO;BOQUEIRAO;9;SAUDE
153;ROUBO;CAJURU;7;PUBLICO
155;FURTO QUALIFICADO;BAIRRO ALTO;22;RESIDENCIA
157;ROUBO;UBERABA;6;PUBLICO
160;ROUBO;SANTA FELICIDADE;10;SAUDE
