regiao,estado,municipio,coduf,codmun,codRegiaoSaude,nomeRegiaoSaude,data,semanaEpi,populacaoTCU2019,casosAcumulado,obitosAcumulado,Recuperadosnovos,emAcompanhamentoNovos
Brasil,,,76,,,,2020-06-07,24,210147125,691758,36455,283952,371351
Norte,RO,,11,,,,2020-06-07,24,1777225,8110,235,,
Norte,AC,,12,,,,2020-06-07,24,881935,7983,207,,
Norte,AM,,13,,,,2020-06-07,24,4144597,49269,2250,,
Norte,RR,,14,,,,2020-06-07,24,605761,5529,142,,
Norte,PA,,15,,,,2020-06-07,24,8602865,54271,3678,,
Norte,AP,,16,,,,2020-06-07,24,845731,13045,272,,
Norte,TO,,17,,,,2020-06-07,24,1572866,5644,99,,
Nordeste,MA,,21,,,,2020-06-07,24,7075181,47593,1170,,
Nordeste,PI,,22,,,,2020-06-07,24,3273227,7478,239,,
Nordeste,CE,,23,,,,2020-06-07,24,9132078,64271,3982,,
Nordeste,RN,,24,,,,2020-06-07,24,3506853,9452,424,,
Nordeste,PB,,25,,,,2020-06-07,24,4018127,20310,484,,
Nordeste,PE,,26,,,,2020-06-07,24,9557071,40242,3305,,
Nordeste,AL,,27,,,,2020-06-07,24,3337357,15706,601,,
Nordeste,SE,,28,,,,2020-06-07,24,2298696,9290,217,,
Nordeste,BA,,29,,,,2020-06-07,24,14873064,28250,879,,
Sudeste,MG,,31,,,,2020-06-07,24,21168791,15703,376,,
Sudeste,ES,,32,,,,2020-06-07,24,4018650,19619,832,,
Sudeste,RJ,,33,,,,2020-06-07,24,17264943,67756,6707,,
Sudeste,SP,,35,,,,2020-06-07,24,45919049,143073,9145,,
Sul,PR,,41,,,,2020-06-07,24,11433957,6897,237,,
Sul,SC,,42,,,,2020-06-07,24,7164788,11565,171,,
Sul,RS,,43,,,,2020-06-07,24,11377239,12135,286,,
Centro-Oeste,MS,,50,,,,2020-06-07,24,2778986,2253,21,,
Centro-Oeste,MT,,51,,,,2020-06-07,24,3484466,3878,109,,
Centro-Oeste,GO,,52,,,,2020-06-07,24,7018354,5813,173,,
Centro-Oeste,DF,,53,,,,2020-06-07,24,3015268,16623,214,,
Norte,RO,Alta Floresta D'Oeste,11,110001,11005,Zona da Mata,2020-06-07,24,22945,16,0,,
Norte,RO,Ariquemes,11,110002,11001,Vale do Jamari,2020-06-07,24,107863,550,5,,
Norte,RO,Cabixi,11,110003,11006,Cone Sul,2020-06-07,24,5312,3,0,,
Norte,RO,Cacoal,11,110004,11002,Café,2020-06-07,24,85359,87,1,,
Norte,RO,Cerejeiras,11,110005,11006,Cone Sul,2020-06-07,24,16323,14,2,,
Norte,RO,Colorado do Oeste,11,110006,11006,Cone Sul,2020-06-07,24,15882,2,0,,
Norte,RO,Corumbiara,11,110007,11006,Cone Sul,2020-06-07,24,7391,4,0,,
Norte,RO,Costa Marques,11,110008,11007,Vale do Guaporé,2020-06-07,24,18331,6,0,,
Norte,RO,Espigão D'Oeste,11,110009,11002,Café,2020-06-07,24,32374,31,2,,
Norte,RO,Guajará-Mirim,11,110010,11004,Madeira-Mamoré,2020-06-07,24,46174,388,27,,
Norte,RO,Jaru,11,110011,11003,Central,2020-06-07,24,51775,131,0,,
Norte,RO,Ji-Paraná,11,110012,11003,Central,2020-06-07,24,128969,178,6,,
Norte,RO,Machadinho D'Oeste,11,110013,11001,Vale do Jamari,2020-06-07,24,39991,18,0,,
Norte,RO,Nova Brasilândia D'Oeste,11,110014,11005,Zona da Mata,2020-06-07,24,20474,8,0,,
Norte,RO,Ouro Preto do Oeste,11,110015,11003,Central,2020-06-07,24,36035,109,1,,
Norte,RO,Pimenta Bueno,11,110018,11002,Café,2020-06-07,24,36660,54,0,,
Norte,RO,Porto Velho,11,110020,11004,Madeira-Mamoré,2020-06-07,24,529544,5161,171,,
Norte,RO,Presidente Médici,11,110025,11003,Central,2020-06-07,24,18986,6,0,,
Norte,RO,Rio Crespo,11,110026,11001,Vale do Jamari,2020-06-07,24,3764,6,0,,
Norte,RO,Rolim de Moura,11,110028,11005,Zona da Mata,2020-06-07,24,55058,95,2,,
Norte,RO,Santa Luzia D'Oeste,11,110029,11005,Zona da Mata,2020-06-07,24,6495,7,0,,
Norte,RO,Vilhena,11,110030,11006,Cone Sul,2020-06-07,24,99854,108,1,,
Norte,RO,São Miguel do Guaporé,11,110032,11003,Central,2020-06-07,24,23005,469,2,,
Norte,RO,Nova Mamoré,11,110033,11004,Madeira-Mamoré,2020-06-07,24,30583,54,3,,
Norte,RO,Alvorada D'Oeste,11,110034,11003,Central,2020-06-07,24,14411,4,1,,
Norte,RO,Alto Alegre dos Parecis,11,110037,11005,Zona da Mata,2020-06-07,24,13241,15,1,,
Norte,RO,Alto Paraíso,11,110040,11001,Vale do Jamari,2020-06-07,24,21428,19,2,,
Norte,RO,Buritis,11,110045,11001,Vale do Jamari,2020-06-07,24,39654,37,1,,
Norte,RO,Novo Horizonte do Oeste,11,110050,11005,Zona da Mata,2020-06-07,24,8538,13,0,,
Norte,RO,Cacaulândia,11,110060,11001,Vale do Jamari,2020-06-07,24,6230,5,0,,
Norte,RO,Campo Novo de Rondônia,11,110070,11001,Vale do Jamari,2020-06-07,24,14139,19,1,,
Norte,RO,Candeias do Jamari,11,110080,11004,Madeira-Mamoré,2020-06-07,24,26693,237,3,,
Norte,RO,Chupinguaia,11,110092,11006,Cone Sul,2020-06-07,24,11182,7,0,,
Norte,RO,Cujubim,11,110094,11001,Vale do Jamari,2020-06-07,24,25215,38,1,,
Norte,RO,Governador Jorge Teixeira,11,110100,11003,Central,2020-06-07,24,7767,9,0,,
Norte,RO,Itapuã do Oeste,11,110110,11004,Madeira-Mamoré,2020-06-07,24,10458,50,0,,
Norte,RO,Ministro Andreazza,11,110120,11002,Café,2020-06-07,24,9660,2,0,,
Norte,RO,Mirante da Serra,11,110130,11003,Central,2020-06-07,24,10947,25,1,,
Norte,RO,Monte Negro,11,110140,11001,Vale do Jamari,2020-06-07,24,15852,22,0,,
Norte,RO,Nova União,11,110143,11003,Central,2020-06-07,24,6970,9,0,,
Norte,RO,Pimenteiras do Oeste,11,110146,11006,Cone Sul,2020-06-07,24,2169,8,0,,
Norte,RO,Primavera de Rondônia,11,110147,11002,Café,2020-06-07,24,2856,6,0,,
Norte,RO,São Felipe D'Oeste,11,110148,11002,Café,2020-06-07,24,5172,1,0,,
Norte,RO,São Francisco do Guaporé,11,110149,11007,Vale do Guaporé,2020-06-07,24,20266,20,1,,
Norte,RO,Seringueiras,11,110150,11007,Vale do Guaporé,2020-06-07,24,11856,1,0,,
Norte,RO,Teixeirópolis,11,110155,11003,Central,2020-06-07,24,4308,1,0,,
Norte,RO,Theobroma,11,110160,11003,Central,2020-06-07,24,10444,9,0,,
Norte,RO,Urupá,11,110170,11003,Central,2020-06-07,24,11467,22,0,,
Norte,RO,Vale do Anari,11,110175,11003,Central,2020-06-07,24,11204,14,0,,
Norte,RO,Vale do Paraíso,11,110180,11003,Central,2020-06-07,24,6825,12,0,,
Norte,AC,Acrelândia,12,120001,12002,Baixo Acre e Purus,2020-06-07,24,15256,165,2,,
Norte,AC,Assis Brasil,12,120005,12001,Alto Acre,2020-06-07,24,7417,59,4,,
Norte,AC,Brasiléia,12,120010,12001,Alto Acre,2020-06-07,24,26278,111,5,,
Norte,AC,Bujari,12,120013,12002,Baixo Acre e Purus,2020-06-07,24,10266,77,1,,
Norte,AC,Capixaba,12,120017,12002,Baixo Acre e Purus,2020-06-07,24,11733,64,1,,
Norte,AC,Cruzeiro do Sul,12,120020,12003,Juruá e Tarauacá/Envira,2020-06-07,24,88376,1359,17,,
Norte,AC,Epitaciolândia,12,120025,12001,Alto Acre,2020-06-07,24,18411,95,3,,
Norte,AC,Feijó,12,120030,12003,Juruá e Tarauacá/Envira,2020-06-07,24,34780,43,1,,
Norte,AC,Jordão,12,120032,12002,Baixo Acre e Purus,2020-06-07,24,8317,4,0,,
Norte,AC,Mâncio Lima,12,120033,12003,Juruá e Tarauacá/Envira,2020-06-07,24,18977,66,1,,
Norte,AC,Manoel Urbano,12,120034,12002,Baixo Acre e Purus,2020-06-07,24,9459,20,0,,
Norte,AC,Marechal Thaumaturgo,12,120035,12003,Juruá e Tarauacá/Envira,2020-06-07,24,18867,104,0,,
Norte,AC,Plácido de Castro,12,120038,12002,Baixo Acre e Purus,2020-06-07,24,19761,206,4,,
Norte,AC,Porto Walter,12,120039,12003,Juruá e Tarauacá/Envira,2020-06-07,24,11982,2,0,,
Norte,AC,Rio Branco,12,120040,12002,Baixo Acre e Purus,2020-06-07,24,407319,4545,151,,
Norte,AC,Rodrigues Alves,12,120042,12003,Juruá e Tarauacá/Envira,2020-06-07,24,18930,37,3,,
Norte,AC,Santa Rosa do Purus,12,120043,12002,Baixo Acre e Purus,2020-06-07,24,6540,48,1,,
Norte,AC,Senador Guiomard,12,120045,12002,Baixo Acre e Purus,2020-06-07,24,23024,151,3,,
Norte,AC,Sena Madureira,12,120050,12002,Baixo Acre e Purus,2020-06-07,24,45848,251,1,,
Norte,AC,Tarauacá,12,120060,12003,Juruá e Tarauacá/Envira,2020-06-07,24,42567,371,3,,
Norte,AC,Xapuri,12,120070,12001,Alto Acre,2020-06-07,24,19323,84,1,,
Norte,AC,Porto Acre,12,120080,12002,Baixo Acre e Purus,2020-06-07,24,18504,121,5,,
Norte,AM,Alvarães,13,130002,13008,Triângulo,2020-06-07,24,16041,384,10,,
Norte,AM,Amaturá,13,130006,13009,Alto Solimões,2020-06-07,24,11536,334,8,,
Norte,AM,Anamã,13,130008,13002,Rio Negro e Solimões,2020-06-07,24,13614,213,0,,
Norte,AM,Anori,13,130010,13002,Rio Negro e Solimões,2020-06-07,24,21010,468,7,,
Norte,AM,Apuí,13,130014,13003,Rio Madeira,2020-06-07,24,21973,27,0,,
Norte,AM,Atalaia do Norte,13,130020,13009,Alto Solimões,2020-06-07,24,19921,159,1,,
Norte,AM,Autazes,13,130030,13001,"Manaus, Entorno e Alto Rio Negro",2020-06-07,24,39565,666,23,,
Norte,AM,Barcelos,13,130040,13001,"Manaus, Entorno e Alto Rio Negro",2020-06-07,24,27502,597,20,,
Norte,AM,Barreirinha,13,130050,13005,Baixo Amazonas,2020-06-07,24,32041,409,4,,
Norte,AM,Benjamin Constant,13,130060,13009,Alto Solimões,2020-06-07,24,42984,1084,25,,
Norte,AM,Beruri,13,130063,13002,Rio Negro e Solimões,2020-06-07,24,19679,374,5,,
Norte,AM,Boa Vista do Ramos,13,130068,13005,Baixo Amazonas,2020-06-07,24,19207,90,2,,
Norte,AM,Boca do Acre,13,130070,13006,Regional Purus,2020-06-07,24,34308,475,7,,
Norte,AM,Borba,13,130080,13003,Rio Madeira,2020-06-07,24,41161,315,14,,
